k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
20/08/2025 07:08:38,rayyan-305067149,A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus).,2015,Callithrix jacchus,common marmoset,,Primates,Callitrichidae,lab,group,Unknown,22,,34629,"Hand, Automated",Yes,25,,5,No,No,"Automated supervised based on 5 classes only, so technically still based on hand classification",yes,linear,512,Hanning/Hann,75,Yes,3000,15000,"Due to the noise below 2 kHz in the Population 1 recordings resulting from background sounds in the colony room, all vocalization samples were filtered before further processing was performed. The filters used were sixth-order zero-phase Butterworth filters (sixth-order zero phase filtering is achieved by passing a signal first forward and then backward through the same third order filter)",MATLAB,17,Some,duration,"inter unit interval, number of units",,,,,,"peak frequency, f0 min, f0 max, f0 start, f0 end, bandwidth, time to min, time to max, FM rate, max FM depth, FM depth, transition time, phrase sweep time","F0, peak frequency",,MATLAB,SVM,features,,No,
24/08/2025 10:29:56,rayyan-305067150,The vocal repertoire of the ringtailed lemur (Lemur catta).,1993,Lemur catta,ring-tailed lemur,,Primates,Lemuridae,lab,group,Yes,not reported,,not reported,Hand,Yes,28,,,No,No,,yes,,256,,,,,,,Uniscan II,10,Some,duration,"unit duration, inter unit interval, number of units",,,,,,"f0 start, f0 end, f0 max, f0 min, lowest of major energy, highest of major energy",F0,,N/A,,,no further analysis,No,
17/08/2025 18:00:41,rayyan-305067158,Vocal complexity in the long calls of Bornean orangutans.,2024,Pongo pygmaeus wurmbii,Bornean orangutan,,Primates,Hominidae,lab,"group, solitary",No,13,,1033,"Hand, Automated",No,8,,2-4,Yes,"Yes, preprocessed",,yes,,512,Hanning/Hann,50,Yes,50,1500,,"Raven Pro, warbleR ",46,No,duration,,,,,"aggregate entropy, average entropy, max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, IQR bandwidth, frequency 5%, frequency 95%, bandwidth 90%, center time, 1st quartile time, 3rd quartile time, time 5%, time 95%, duration 90%, peak time","meanfreq, sd, freq.IQR, time.IQR, skew, kurt, sp.ent, time.ent, entropy, sfm, meandom, mindom, maxdom, drfange, midindx, startdom, enddom, dfslope, meanpeakf","Duration 50%, f0 min, f0 max",F0,,R,"UMAP, SVM, affinity propagation, C-means fuzzy clustering","features, spectrogram",,Yes,CC BY 4.0
19/08/2025 11:31:58,rayyan-305067167,"Ultrasonic vocalizations in laboratory mice: strain, age, and sex differences.",2022,Mus musculus,Laboratory mouse,"C57BL/6N, FVB/NHan™Hsd, CD-1 (outbred)",Rodentia,Muridae,lab,"group, solitary",Yes,128,,56205,Hand,Yes,9,,,No,Upon request,Combined pups and adults,no,,"512, 1024",Hamming,75,Highpass,20000,,FFT size different for pups vs adults,,3,No,duration,,,,,,,"peak frequency, peak amplitude","peak frequency, amplitude",,N/A,,,,Yes,CC BY-NC-ND 4.0
19/08/2025 11:41:30,rayyan-305067169,Unsupervised discovery of family specific vocal usage in the Mongolian gerbil,2024,Meriones unguiculatus,Mongolian gerbil,,Rodentia,Muridae,lab,group,Yes,18,583237,583237,Automated,Yes,,,70,Yes,Upon request,,no,linear,512,,50,No,,,,,,Some,,,,,,,,,,No features analysed,"Python, Stan","GMM clustering, VAE",spectrogram,,Yes,CC BY 4.0
21/08/2025 10:53:08,rayyan-305067179,Social and vocal behavior in adult greater tube-nosed bats (Murina leucogaster).,2015,Murina leucogaster,greater tube-nosed bat,,Chiroptera,Vespertilionidae,lab,group,No,14,,489,Hand,Yes,17,,,No,No,17 communication calls (termed the repertoire) + 3 echolocation,yes,,1024,Hamming,93.75,No,,,,Avisoft-SASLab Pro,9,Some,duration,,,,"peak frequency, min frequency, max frequency, bandwidth",,,"f0 start, f0 end, number of harmonics, sweep direction","F0, formants",,SPSS,"PCA, MDS",features,,No,
04/10/2025 21:18:41,rayyan-305067200,Acoustic variability and individual distinctiveness in the vocal repertoire of red-capped mangabeys (Cercocebus torquatus).,2012,Cercocebus torquatus,red-capped mangabeys,,Primates,Cercopithecidae,lab,group,Yes,14,6629,463,Hand,No,6,,,No,No,,no,,1024,,,No,,,,ANA acoustic software,7,Some,duration,"number of units, duration of first unit",,,,,,"min freq; peak freq; Fpeak1 (the frequency
of the first peak amplitude); Fpeak2 (the frequency of the second peak
amplitude); Fpeak3 (the frequency of the third peak amplitude)","peak frequency, formants",,N/A,,,"no further analysis of vocab, only of individuality",No,
10/10/2025 05:51:44,rayyan-305067202,Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis.,2010,Cercocebus torquatus,red-capped mangabey,,Primates,Cercopithecidae,lab,group,Yes,14,6629,870,Hand,Yes,8,,,Yes,No,graded calls excluded,yes,,1024,,,No,,,,ANA acoustic software,3,Some,duration,,,,,,,peak freq; min freq,peak frequency,,SPPS,DFA,features,,No,
10/10/2025 11:14:40,rayyan-305067213,Unusual repertoire of vocalizations in adult BTBR T+tf/J mice during three types of social encounters,2011,Mus musculus,mouse,BTBR T+tf/J; C57BL/6J,Rodentia,Muridae,lab,group,No,144,,9663,Hand,Yes,10,,,No,No,,no,,512,Hamming,75,Highpass,20000,,,Avisoft-SASLab Pro,3,No,duration,,,,"peak frequency, peak amplitude",,,,,,not reported,,,no further analysis,Yes,
10/10/2025 16:57:04,rayyan-305067253,Age- and sex-specific patterns of vocal behavior in De Brazza's monkeys (Cercopithecus neglectus).,2012,Cercopithecus neglectus,De Brazza's monkey,,Primates,Cercopithecidae,lab,group,Yes,23,3145,1786,Hand,Yes,10,2,,No,No,,yes,,1024,,,,,,,ANA acoustic software,3,Some,duration,,,,,,,"F0, peak frequency","F0, peak frequency",,not reported,DFA,features,,No,
13/10/2025 13:10:11,rayyan-305067296,Distinct Profiles of 50 kHz Vocalizations Differentiate Between Social Versus Non-social Reward Approach and Consumption ,2021,Rattus norvegicus,rat,Long-Evans,Rodentia,Muridae,lab,"group, solitary",No,12,,unknown,Hand,No,15,,,No,Upon request,,no,,512,Flattop,75,No,,,,N/A,,,,,,,,,,,,no further analysis,N/A,,,,Yes,CC BY 4.0
12/10/2025 13:55:00,rayyan-305067318,"Vocal communication in adult greater horseshoe bats, Rhinolophus ferrumequinum.",2006,Rhinolophus ferrumequinum,greater horseshoe bat,,Chiroptera,Rhinolophidae,lab,group,Unknown,32,,,Hand,Yes,17,,,No,No,,yes,,512,Hamming,,,,,,Avisoft-SASLab Pro,9,Some,duration,,,,"peak frequency, fundamental frequency",,,number of harmonics; percentage of strongest harmonic; frequency range of initial and terminal FM; normalized percent of frequency modulation of the harmonics; sweep direction; ,formants,,SPSS,"PCA, MDS",features,,No,
13/10/2025 22:28:32,rayyan-305067342,Male rats emit aversive 44-kHz ultrasonic vocalizations during prolonged Pavlovian fear conditioning,2024,Rattus norvegicus,rat,SHR; Wistar rat; Sprague–Dawley,Rodentia,Muridae,lab,solitary,No,263,,140149,"Hand, Automated",No,5,,unclear,No,"Yes, preprocessed",,no,,,,,,,,none reported,DeepSqueak,,No,duration,,,,,,,call contour,,"""Unsupervised k-means clustering was based on call contour, frequency and duration variables"" - unclear what variables exactly",DeepSqueak,"K-means clustering, DBSCAN",features,,Yes,CC BY 4.0
14/10/2025 08:12:19,rayyan-305067355,Ultrasonic signals associated with different types of social behavior of mice,2020,Mus musculus,Laboratory mouse,B6.CAST-Cdh23Ahl+/Kjn,Rodentia,Muridae,lab,group,No,22,,211090,Automated,No,,,22,Yes,Upon request,,no,,,,,,,,not reported,MATLAB,,No,"duration, amplitude",,,,,,,Algorithm based on F0 contour,F0,,MATLAB,K-means clustering,features,Clustering based on F0 contour (100 bins),No,
22/10/2025 21:23:02,rayyan-305067360,Vocalization in the cat and kitten.,1978,Felis domesticus,domestic cat,,Carnivora,Felidae,lab,"group, solitary",Yes,not reported,,195,Hand,No,6,,,Yes,No,,,,,,,,,,,Kay Sona-Graph,3,No,duration,,,,,,,F0 start; F0 peak,F0,,N/A,,,,No,
14/10/2025 13:01:37,rayyan-305067362,Acoustic variability and social significance of calls in female Campbell’s monkeys (Cercopithecus campbelli campbelli),2011,Cercopithecus campbelli campbelli,Campbell’s monkeys,,Primates,Cercopithecidae,lab,group,Yes,6,,1348,Hand,No,10,,,Yes,No,,,,256,,,,,,,Amiga,7,Some,duration,"inter unit interval, number of units",,,,,,"dominant freq; F0; bandwidth; Duration between submits of two successive oscillations, bandwidth of oscillation","F0, dominant frequency, amplitude",,N/A,,,,No,
14/10/2025 13:48:27,rayyan-305067372,Primed to vocalize: Wild-derived male house mice increase vocalization rate and diversity after a previous encounter with a female.,2020,Mus musculus,House mouse,wild-derived house mice (F1),Rodentia,Muridae,lab,solitary,No,50,,,Hand,No,15,,,No,"Yes, preprocessed",males only,no,,,,,,,,,A-MUD,4,No,duration,,,,,,,mean frequency (kHz); mean amplitude (dB); slope (kHz/ms),amplitude,,R,"ANOSIM, MDS",features,,Yes,CC BY 4.0
14/10/2025 14:02:03,rayyan-305067374,Evaluation of ultrasonic vocalizations in common marmosets (Callithrix jacchus) as a potential indicator of welfare.,2014,Callithrix jacchus,common marmoset,,Primates,Callitrichidae,lab,"group, solitary",Yes,,,425,Hand,Yes,13,,,No,No,,yes,,,,,,,,,Sonotrack; mp3DirectCut; SYRINX; Avisoft SASLab Lite,5,Some,duration,,,,,,,mean min freq; mean max freq; mean start freq; mean end freq;,,,N/A,,,,No,
23/10/2025 21:51:46,rayyan-305067399,Ultrasonic vocalizations in house mice depend upon genetic relatedness of mating partners and correlate with subsequent reproductive success.,2020,Mus musculus musculus,mouse,wild-derived,Rodentia,Muridae,lab,group,No,26,,not reported,Hand,No,15,,,No,"Yes, preprocessed",,yes,,,Hanning/Hann,75,,,,,Automatic Mouse Ultrasound Detector,5,Some,duration,,per segment,,,,,"start time, mean freq, min freq, max freq",,,N/A,,,no further analysis,Yes,CC BY 4.0
17/08/2025 19:52:55,rayyan-305067415,Visual classification of feral cat Felis silvestris catus vocalizations.,2017,Felis silvestris catus,domestic cat,feral,Carnivora,Felidae,lab,group,Yes,13,,71,Hand,Yes,3,,,No,No,8 subcategories,yes,,,Hanning/Hann,,,,,"settings marked as 'default', but since no version of Raven Pro was given, unsure what those defaults are",N/A,0,No,,,,,,,,,,,N/A,,,,Yes,CC-BY-NC 
26/10/2025 20:17:42,rayyan-305067430,Ultrasonic vocalizations in golden hamsters (Mesocricetus auratus) reveal modest sex differences and nonlinear signals of sexual motivation.,2015,Mesocricetus auratus,golden hamster,,Rodentia,Cricetidae,lab,"group, solitary",No,26,,1103,Hand,Yes,8,,,No,No,,no,,512,Hanning/Hann,80,,,,,Raven Pro,14,No,duration,,,,,"average power, aggregate entropy, average entropy, max/peak frequency, center frequency, 1st quartile frequency, 3rd quartile frequency, IQR bandwidth, filtered RMS amplitude",,min freq; delta freq; energy,,,JMP (SAS Institute),PCA,features,,Yes,CC BY 4.0
28/10/2025 22:14:16,rayyan-305067492,Male mice emit distinct ultrasonic vocalizations when the female leaves the social interaction arena.,2013,Mus musculus,Laboratory mouse,"B6, FVB, and BTBR strains",Rodentia,Muridae,lab,"group, solitary",No,36,,36887,Hand,No,8,,,No,No,,,,512,Hamming,75,Highpass,15000,,,N/A,,,,,,,,,,,,,N/A,,,,Yes,CC BY 3.0
21/10/2025 21:27:27,rayyan-305067516,"Classification of vocalizations in the Mongolian gerbil, Meriones unguiculatus",2012,Meriones unguiculatus,Mongolian gerbil,,Rodentia,Muridae,lab,group,No,34,,5712,Hand,Yes,13,,,No,No,,yes,,512,Hamming,,,,,,Avisoft-SASLab Pro,13,No,duration,,,,,,,F0 start; F0 end; max F0; min F0; F0 bandwidth; time to max F0; time to min F0; number of harmonics; percentage of strongest harmonic; modulation frequency; modulation depth; duty cycle (length of syllable relative to length of total phrase),"F0, formants",,SPSS,"PCA, MDS",features,,No,
14/10/2025 04:54:57,rayyan-305067603,"Graded calls of the smallest terrestrial mammal, the Etruscan shrew, living in a closed habitat",2024,Suncus etruscus,Etruscan shrew,,Eulipotyphla,Soricidae,lab,"group, solitary",Yes,not reported,,1131,Automated,Yes,,,4,Yes,"Yes, preprocessed",,yes,,,,,Yes,3000,60000,,Praat,22,No,duration,,,"mean F0, max F0, min F0, std F0; slope F0",,,,time to peak; time to max F0; time to min F0; voiced perc; HNR; entropy; center gravity (PF); std PF; skewness; kurtosis; F1 freq; F1 bandwidth; F2 freq; F2 bandwidth; F3 freq; F3 bandwidth ,"F0, peak frequency, formants",,R,"UMAP, Fuzzy c-means clustering",features,,Yes,CC BY 4.0
02/11/2025 17:11:00,rayyan-305067604,Social vocalizations of big brown bats vary with behavioral context.,2012,Eptesicus fuscus,big brown bat,,Chiroptera,Eptesicus,lab,"group, solitary",Yes,21,,7632,"Hand, Automated",Yes,19,0,18,Yes,No,cross-correlation procedure template matching for further automatied classification (but fully based on pre-selected types),no,,512,,98.43,Highpass,1000,,,Avisoft SASLab Pro,11,Some,duration,,,,"peak frequency, min frequency, max frequency, bandwidth",,,"F0 start, F0 end, F0 middle, F0 min, F0 max, F0 bandwidth",F0,,N/A,,,,Yes,CC BY 4.0
02/11/2025 20:28:50,rayyan-305067620,Identification of multiple call categories within the rich repertoire of adult rat 50-kHz ultrasonic vocalizations: effects of amphetamine and social context.,2010,Rattus norvegicus,rat,Long-Evans,Rodentia,Muridae,lab,"group, solitary",No,60,,not reported,Hand,No,15,,,No,No,,yes,,512,Flattop,75,,,,,Avisoft SASLab Pro,3,Some,duration,,,,"peak frequency, bandwidth",,,,,,N/A,,,no further analysis of repertoire,No,
04/11/2025 16:58:22,rayyan-305067667,Altered social behavior and ultrasonic communication in the dystrophin-deficient mdx mouse model of Duchenne muscular dystrophy.,2015,Mus musculus,mouse,C57BL/10ScSn-Dmdmdx/J mutant males (mdx); wild type,Rodentia,Muridae,lab,"group, solitary",No,,,79601,Hand,Yes,10,,,No,No,Automated classification based on manual criteria,no,,1024,Hamming,75,Highpass,25000,,,Avisoft SASLab Pro,8,Some,duration,"unit duration, number of units, unit range (units/s)",,,,,,peak freq start; peak freq end; peak amp start; peak amp end,"peak frequency, amplitude",,N/A,,,,Yes,CC BY 4.0
03/11/2025 13:22:08,rayyan-305067689,Vocal signals with different social or non-social contexts in two wild rodent species (Mus caroli and Rattus losea).,2023,Mus caroli,Ryukyu mouse,,Rodentia,Muridae,lab,group,Yes,60,,,Hand,No,5,,,No,Upon request,,no,,1024,Hamming,93.75,,,,,Avisoft-SASLab Pro,4,No,duration,,,,"peak frequency, bandwidth, entropy",,,,,,N/A,,,,No,
05/11/2025 10:49:18,rayyan-305067780,Stereotypy and variability of social calls among clustering female big-footed myotis (Myotis macrodactylus).,2018,Myotis macrodactylus,big-footed myotis,,Chiroptera,Vespertilionidae,lab,group,No,5,,885,Hand,No,37,,,No,No,"Repertoire size based on combied syllables, 4 syllable types",yes,,512,,87.5,,,,,Avisoft-SasLab Pro,6,All,duration,"number of units, number of different units",,,"min frequency, max frequency",,,mean peak freq,peak frequency,,N/A,,,,Yes,CC BY 4.0
22/10/2025 20:22:22,rayyan-305067808,The acoustic behavior of the Brazilian caatinga big rodent is incongruent to its actual position in Hydrochoerinae,2021,Kerodon rupestris,Rock cavy,,Rodentia,Caviidae,lab,group,No,13,,602,Hand,Yes,13,,,No,No,,yes,,"512, 2048",Hanning/Hann,90,No,,,,Raven Pro,4,No,duration,,,,,,,"min freq, max freq, dominant freq",dominant frequency,,N/A,,,,No,
18/10/2025 21:24:17,rayyan-305067841,Quantitative analysis of the vocal repertoire of squirrel monkeys (Saimiri sciureus).,1975,Saimiri sciureus,squirrel monkey,,Primates,Cebidae,lab,"group, solitary",Yes,19,,6120,Hand,Yes,6,,,Yes,No,,,,,,,Yes,,,,N/A,,Some,duration,"number of units, first unit duration; last unit duration",,,,,,F0 start; F0 middle; F0 end; dB difference F0-F1; dB difference F1-F2; dB difference F3-F2; dB difference F4-F3; F0 bandwidth,"F0, formants, amplitude",number of features differs per call type,N/A,,,,No,
16/10/2025 14:18:59,rayyan-305067862,Social calls of flying big brown bats (Eptesicus fuscus),2013,Eptesicus fuscus,big brown bat,,Chiroptera,Vespertilionidae,lab,group,Yes,36,,764,Hand,No,7,,,No,No,,,,,,,,,,nothing reported,not reported,4,Some,duration,,,,,,,start freq; middle freq; end freq,,,not reported,DFA,features,,Yes,CC BY 3.0
06/11/2025 13:25:38,rayyan-305067868,Acoustic signaling in the black rat (Rattus rattus).,1990,Rattus rattus,black rat,,Rodentia,Muridae,lab,group,Unknown,,,,Hand,Yes,10,1,,No,No,,,,,,,,,,no further analysis,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
06/11/2025 13:34:37,rayyan-305067912,"Vocal repertoire of the squirrel monkey (Saimiri sciureus), its analysis and significance.",1966,Saimiri sciureus,squirrel monkey,,Primates,Cebidae,lab,"group, solitary",Yes,,,250,Hand,Yes,26,2,,No,No,26 calls in 6 groups,,,,,,,,,no further analysis,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
17/08/2025 20:06:47,rayyan-308549144,"Vocal repertoire of the critically endangered white-headed langur ( Trachypithecus leucocephalus): Call types, acoustic structures, and related social-ecological contexts.",2022,Trachypithecus leucocephalus,white-headed langur,,Primates,Cercopithecidae,lab,group,Yes,unclear,28697,409,Hand,Yes,17,6,,No,No,likely ~68 animal recorded,yes,,1024,Hamming,87.5,No,,,,Avisoft-SASLab Pro,25,Some,duration,,"entire call, start, center, end",,"peak frequency, min frequency, max frequency, bandwidth, entropy, HNR",,,,,,R,"DFA, PCA",features,,Yes,CC BY-NC 4.0
10/12/2025 04:32:07,rayyan-380414577,The vocal repertoire of the northern giant mouse lemur (Mirza zaza) in captivity,2020,Mirza zaza,giant mouse lemur,,Primates,Cheirogaleidae,lab,"group, solitary",Yes,39,,1129,Hand,Yes,10,,,Yes,No,,,,,,,,,,not reported,Kay Sona-Graph,8,,duration,,,,,,,F0 start; F0 peak; F0 min; F0 end; F max; peak freq; call interval,F0,,SPSS,DFA,features,,No,
19/12/2025 21:52:38,rayyan-380414582,Vocal communication in raccoons (Procyon lotor),1984,Procyon lotor,raccoon,,Carnivora,Procyonidae,lab,group,Yes,20,,,Hand,Yes,13,4,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,9,Some,,"unit duration, inter unit interval, number of units, unit range (units/s)",,,,,,F0 min; F0 max; first peak; second peak; third peak,F0,,N/A,,,,No,
05/01/2026 06:46:15,rayyan-380414586,Vocalizations of the Siberian ferret (Mustela eversmanni) and comparisons with other mustelids,1987,Mustela eversmanni,Siberian ferret,,Carnivora,Mustelidae,lab,solitary,No,6,,,Hand,Yes,6,,,No,No,,no,,,,,,,,,Kay Sona-Graph,,,duration,,,,,,,freq,,,N/A,,,,No,
02/12/2025 16:14:49,rayyan-380414604,Acoustic signals of a solitary subterranean rodent Ctenomys talarum (Rodentia: Ctenomyidae): physical characteristics and behavioural correlates,2002,Ctenomys talarum,Talas tuco-tuco,,Rodentia,Ctenomyidae,lab,group,No,24,,222,Hand,Yes,4,,,No,No,,no,linear,512,Hamming,,No,,,,Spectrogram 5.1.6,6,Some,duration,"unit duration, inter unit interval",per syllable,,,,,max freq; min freq; dominant freq,dominant frequency,,N/A,,,,No,
09/12/2025 11:06:19,rayyan-380414605,"Vocalisations of the degu octodon degus, a social caviomorph rodent",2007,octodon degus,degu,,Rodentia,Octodontidae,lab,,Yes,17,,3535,Hand,Yes,15,2,,No,No,,yes,,,Hanning/Hann,,,,,,Alien Connections Pristine Sounds 2000,4,Some,duration,number of units,,,,,,mean Fmax; mean Fmin,,,N/A,,,,No,
14/12/2025 15:54:19,rayyan-380414606,"The rich acoustic repertoire of a precocious rodent, the wild cavy Cavia aperea",2013,Cavia aperea,Brazilian guinea pig,,Rodentia,Caviidae,lab,"group, solitary",Yes,86,,,Hand,No,8,,,Yes,No,Also noted 2 more classes not seen in this paper,no,,,,,,,,not reported,Avisoft SASLab,7,All,,"unit duration, inter unit interval, number of units, unit range (units/s)",,,"min frequency, max frequency",,,dominant frequency; number of harmonics,dominant frequency,,N/A,,,,No,
07/12/2025 23:10:17,rayyan-380414608,"Vocal Repertoire of Captive Capybara (Hydrochoerus hydrochaeris): Structure, Context and Function",2011,Hydrochoerus hydrochaeris,Capybara,,Rodentia,Caviidae,lab,group,Yes,28,2069,632,Hand,Yes,8,2,,No,No,,yes,,512,Hamming,93.75,,,,,Avisoft-SASLab Pro,6,Some,,unit duration,per note,,"min frequency, max frequency, bandwidth",,,"dominant frequency, number of harmonics",dominant frequency,,not reported,DFA,features,,No,
20/12/2025 22:03:36,rayyan-380414610,The Vocal Repertoire of Pale Spear-Nosed Bats in a Social Roosting Context,2019,Phyllostomus discolor,pale spear-nosed bat,,Chiroptera,Phyllostomidae,lab,group,No,6,56840,18658,Hand,Yes,13,,,No,No,,yes,,,,,,,,,MATLAB,19,No,duration,,,,,,,max amplitude; spectral centroid frequency; PF; min freq; max freq; bandwidth; mean F0; min F0; max F0; start F0; coefficients of the best-fitting linear (degree 1) polynomial F0; quadratic (degree 2) polynomial to the raw contour of the F0; RMSE between fitted polynomials and F0,"F0, peak frequency, amplitude",,MATLAB,LDA,features,,No,
05/01/2026 12:03:55,rayyan-380414612,The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi),2010,Glossophaga soricina,Pallas's long-tongued bat,,Chiroptera,Phyllostomidae,lab,group,,,,151,Hand,Yes,15,,,No,No,,no,,1024,Hamming,87.5,,,,,Avisoft SASlab Pro,30,No,duration,,five different regions even- ly distributed over the call,,"peak frequency, min frequency, max frequency, bandwidth",,,distance to maximum amplitude,,,SPSS,"DFA, k-medians clustering",features,,No,
05/12/2025 16:33:54,rayyan-380414615,Vocal repertoire of adult captive red pandas (Ailurus fulgens),2016,Ailurus fulgens,red panda,,Carnivora,Ailuridae,lab,group,No,3,197,114,Hand,Yes,7,,,No,No,,yes,,1102.5,Gaussiam,,,,,,Praat,6,No,duration,,,"mean F0, max F0, min F0, range F0, F0 std",,,,,,,SPSS,DFA,features,,No,
08/12/2025 10:08:46,rayyan-380414617,Vocal behavior of the Mongolian gerbil in a seminatural enclosure,2012,Meriones unguiculatus,Mongolian gerbil,Meriones unguiculatus,Rodentia,Muridae,lab,group,Yes,,,268,Hand,Yes,6,,,No,No,"Classified based on behaviors, not call features",no,,,,,Highpass,2000,,not reported,Cool Edit Pro; Praat,3,Some,,,,amplitude modulations,,,,average F0; F0 range,F0,,N/A,,,,No,
02/01/2026 11:28:34,rayyan-380414623,The Structure and Usage of Female and Male Mouse Ultrasonic Vocalizations Reveal only Minor Differences,2012,Mus musculus,mouse,,Rodentia,Muridae,lab,"group, solitary",No,40,,5278,Automated,No,3,,,No,No,CC BY 4.0,no,,512,,,,,,,LMA,8,No,duration,,,,,,,PF start; PF max; time to PF max; max PF jump; time to max PF jump; slope,peak frequency,,SPSS,"DFA, two-step clustering",features,,Yes,
10/12/2025 04:50:24,rayyan-380414626,"Vocal behaviour during aggressive encounters between Siberian hamsters, Phodopus sungorus",2015,Phodopus sungorus,Siberian hamster,,Rodentia,Cricetidae,lab,group,No,68,,162,Hand,No,7,,,No,No,,no,,512,Hamming,50,,,,,Avisoft SASlab Pro,5,,duration,,,,,,,start freq; max freq; end freq; mean freq; freq modulation,,,N/A,,,,No,
02/01/2026 22:11:06,rayyan-380414627,"Of Mice, Birds, and Men: The Mouse Ultrasonic Song System Has Some Features Similar to Humans and Song-Learning Birds",2012,Mus musculus,mouse,"B6D2F1/J (BxD), C57BL/6J (B6), B6.129S1-Casp3tm1Flv/J (CASP3), and BALB/c strains",Rodentia,Muridae,lab,solitary,No,,,4304,Hand,No,11,,,,No,,no,,256,,50,,,,,MATLAB,4,No,,,,,,,,Standard deviation of pitch distribution; mean frequency; frequency modulation; spectral purity,peak frequency,,N/A,,,,Yes,CC BY 4.0
02/01/2026 23:28:19,rayyan-380414631,Female Presence and Estrous State Influence Mouse Ultrasonic Courtship Vocalizations,2012,Mus musculus,mouse,CBA/J,Rodentia,Muridae,lab,"group, solitary",No,9,,21964,Hand,No,9,,,No,No,,no,,512,Hamming,50,,,,,Avisoft SasLab Pro,7,No,duration,,,,,,,start freq; end freq; dominant freq; min freq; max freq; bandwidth,dominant frequency,,N/A,,,,Yes,CC BY 4.0
11/01/2026 21:45:25,rayyan-380414632,Male mice song syntax depends on social contexts and influences female preferences,2015,Mus musculus,mouse,B6D2F1/J,Rodentia,Muridae,lab,"group, solitary",No,12,,24320,Hand,No,4,,,No,"Yes, raw",,,,256,,50,Yes,35000,125000,,MATLAB,7,No,duration,inter unit interval,,,,,,PF start; PF end; PF min; PF max; PF bandwidth,peak frequency,,N/A,,,,Yes,CC BY 4.0
11/01/2026 20:37:19,rayyan-380414633,Influence of the female sexual cycle on BALB/c mouse calling behaviour during mating,2004,Mus musculus,mouse,BALB/c,Rodentia,Muridae,lab,group,No,8,,,Hand,No,3,,,No,No,,no,,,,,,,,,Batsound,4,No,duration,,,,,,,min freq; max freq; bandwidth freq,,,N/A,,,,No,
18/11/2025 22:26:44,rayyan-380414634,A Role for Ultrasonic Vocalisation in Social Communication and Divergence of Natural Populations of the House Mouse (Mus musculus domesticus),2014,Mus musculus domesticus,house mouse,wild-derived,Rodentia,Muridae,lab,group,No,37,,,Hand,No,13,,,No,No,"contact with other mice through a window
",,,,Hanning/Hann,85,,,,,MATLAB,,,,,,,,,,centre of gravity freq,,very unclear how many and what features,MATLAB,cluster analysis,,,Yes,CC BY 4.0
14/01/2026 20:10:37,rayyan-380414641,Ultrasonic courtship vocalizations in wild house mice: spectrographic analyses,2012,Mus musculus musculus,house mouse,wild-derived F3,Rodentia,Muridae,lab,solitary,No,22,,24376,Hand,No,15,,,No,No,,,,,Hanning/Hann,75,,,,,A-MUD,,No,duration,,,,,,,min freq; mean freq; max freq,,,N/A,,,,Yes,CC BY-NC-ND 4.0
06/01/2026 11:45:34,rayyan-380414648,Analysis of acoustic elements and syntax in communication sounds emitted by mustached bats,1994,Pteronotus parnellii parnellii,mustached bat,,Chiroptera,Mormoopidae,lab,group,No,65,,445,Hand,Yes,33,,,Yes,No,33 syllables that are combined,no,,,,,,,,,RTS; SIGNAL,,Some,duration,,,,,,,base freq; center freq of predominant band; peak frequency in overall band; % scatter of center freq; max bandwidth; F0; max F0; peak freq; % freq modulation in harmonics; max FM depth for F0; FM sweep rate F0; delaty between FM sweeps,"F0, peak frequency",different features for noisy vs tonal calls,not reported,"DFA, MDS",features,,No,
